turns,winner,white_rating,black_rating,opening_name,opening_ply
30,white,1500,978,Sicilian Defense: Smith-Morra Gambit #2,3
66,white,2443,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,17
41,white,1500,978,Sicilian Defense: Smith-Morra Gambit #2,3
49,white,1500,978,Sicilian Defense: Bowdler Attack,3
3,black,978,1500,Scandinavian Defense,2
7,white,1343,978,Sicilian Defense: Bowdler Attack,3
35,white,2436,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
41,white,2436,978,Scandinavian Defense: Mieses-Kotroc Variation,4
5,black,978,1500,French Defense: Normal Variation,3
7,white,1500,978,King's Pawn Game: Beyer Gambit,4
53,white,978,1500,Dutch Defense,2
36,black,1500,978,English Opening: King's English Variation,2
8,white,1521,1162,Zukertort Opening: Ross Gambit,2
3,white,1407,1500,Sicilian Defense: Closed Variation,3
28,white,1492,1458,Vienna Game: Mengarini Variation,5
30,black,1414,1442,Philidor Defense: Larsen Variation,8
44,black,1457,1294,Scotch Game,5
29,white,1525,1466,Philidor Defense: Lopez Countergambit,6
37,black,1207,1579,French Defense: Knight Variation,3
49,white,1567,1573,Modern Defense,2
32,black,1578,1605,Horwitz Defense,2
25,white,1939,1581,Blumenfeld Countergambit #2,6
40,black,1618,1568,French Defense #2,2
39,white,1755,1574,Zukertort Opening: Kingside Fianchetto,2
57,white,1561,1596,Indian Game,2
78,black,1500,1554,French Defense: Queen's Knight,3
61,white,1544,1461,Queen's Pawn Game: Mason Attack,3
44,black,1563,1335,Queen's Pawn Game: Mason Attack,3
62,black,1579,1470,Queen's Pawn,2
87,white,1617,1590,Indian Game,2
54,black,1207,1588,French Defense: Advance |  Steinitz Variation,7
54,black,1595,1547,Queen's Pawn Game: Mason Attack,3
37,white,1855,1599,French Defense: Exchange Variation,5
50,white,1589,1547,Horwitz Defense,2
131,white,1571,1728,Queen's Pawn Game: London System,5
48,white,1720,1579,French Defense: Chigorin Variation,3
47,black,1579,2105,Queen's Pawn Game: London System,5
64,black,1768,1560,French Defense: La Bourdonnais Variation,3
61,white,1552,1436,Queen's Pawn Game: Mason Attack,3
57,white,1536,1667,Queen's Pawn Game: London System,5
51,white,1521,1549,English Opening: Anglo-Lithuanian Variation,2
58,black,1251,1545,Crab Opening,3
71,white,1537,1408,Queen's Pawn Game: Mason Attack,3
114,white,1522,1512,Queen's Pawn,1
39,white,1602,1532,French Defense: Winawer Variation |  Advance Variation #2,11
20,black,1543,1593,Queen's Pawn Game: London System,5
48,black,1556,1539,Queen's Pawn Game: Mason Attack,3
34,black,1409,1548,French Defense: Knight Variation,3
51,white,1539,1418,Queen's Pawn Game: London System,5
69,white,1603,1550,French Defense: Queen's Knight,3
28,white,1542,1399,Queen's Pawn Game: Steinitz Countergambit,4
62,black,1546,1877,Queen's Pawn Game: London System,5
62,black,1134,1535,Queen's Indian Defense,4
85,white,1513,1784,Horwitz Defense,2
38,white,1501,1445,Queen's Pawn Game: London System,5
14,white,1500,1500,Italian Game: Giuoco Pianissimo |  Normal,8
113,draw,1745,1714,Queen's Gambit Refused: Marshall Defense,4
62,white,1734,1748,Queen's Gambit Refused: Marshall Defense,4
101,white,1942,1739,French Defense: Marshall Variation,6
75,white,1724,1855,Scotch Game,7
135,white,1951,1729,French Defense: Advance Variation |  Main Line,11
81,white,1726,1388,Philidor Defense,5
46,black,1735,1806,Gruenfeld Defense,6
70,black,1597,1728,French Defense: Knight Variation,3
39,white,1743,1738,French Defense: Rubinstein Variation |  Fort Knox Variation,10
91,white,1721,1750,Queen's Gambit Declined: Traditional Variation,7
137,white,1746,1487,Queen's Gambit Accepted: Old Variation,5
46,black,1744,1735,French Defense: Advance Variation |  Paulsen Attack,9
18,black,1749,1631,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,9
28,black,1769,1396,Queen's Gambit Accepted: Old Variation,5
40,black,1795,1760,Yusupov-Rubinstein System,5
111,white,1729,1795,Queen's Gambit Declined: Queen's Knight Variation,5
54,black,1795,1784,Ruy Lopez: Classical Variation,6
33,white,1770,1872,Queen's Pawn Game: Zukertort Variation,3
90,black,1783,1721,Queen's Pawn Game: London System,5
90,black,1884,1768,Ruy Lopez: Classical Variation |  Central Variation,7
40,black,1756,1756,Bishop's Opening: Ponziani Gambit,5
49,white,1724,1958,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,5
50,black,2036,1706,King's Indian Attack: French Variation,6
59,white,1706,925,Queen's Pawn Game: London System,5
26,black,1244,1219,Nimzowitsch Defense: Mikenas Variation,4
23,white,1215,921,Italian Game,5
118,black,1350,1201,Alekhine Defense #2,5
66,black,1210,1280,Sicilian Defense: Nimzowitsch Variation,4
120,draw,1139,1212,Four Knights Game: Italian Variation,8
36,black,1220,1341,Italian Game: Two Knights Defense |  Fried Liver Attack,11
26,black,1234,1359,Italian Game: Anti-Fried Liver Defense,6
62,black,1275,1236,Italian Game: Two Knights Defense |  Fried Liver Attack,11
37,white,1433,1282,Alekhine Defense: Maroczy Variation,3
24,black,1132,1276,Queen's Gambit Refused: Marshall Defense,4
47,white,1276,1308,Italian Game: Anti-Fried Liver Defense,6
37,black,1228,1266,Alekhine Defense: Two Pawn Attack |  Lasker Variation,7
24,black,1273,1409,Caro-Kann Defense: Exchange Variation,5
9,white,1338,1277,Queen's Pawn Game #2,3
47,white,1263,1336,Sicilian Defense: Modern Variations |  Main Line,8
85,white,1316,1273,English Opening: King's English Variation,2
39,white,1248,1253,Goldsmith Defense,2
58,black,1335,1233,Nimzo-Indian Defense,6
95,white,1223,1189,Italian Game: Two Knights Defense |  Fried Liver Attack,11
2,black,1443,1204,Alekhine Defense,2
97,white,1227,1216,Queen's Gambit Refused: Marshall Defense,4
12,draw,1215,1219,Italian Game,5
30,white,1227,1227,Four Knights Game: Italian Variation,8
43,white,1550,1225,Bogo-Indian Defense: Exchange Variation,8
11,white,1325,1234,Alekhine Defense,2
72,black,1212,1221,Alekhine Defense: Saemisch Attack,5
156,black,1226,1478,King's Knight Opening,3
18,black,1228,1626,Queen's Gambit Declined,4
77,white,1191,1228,French Defense: Classical Variation |  Steinitz Variation,7
32,black,1422,1210,Alekhine Defense: Two Pawn Attack,5
35,white,1186,1223,Vienna Game: Vienna Gambit,5
85,white,1212,1212,Modern Defense,2
50,black,1228,1343,Scandinavian Defense: Panov Transfer,6
111,white,1865,1862,Yusupov-Rubinstein System,5
65,white,1852,1852,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
73,white,1833,1863,Benoni Defense,4
125,white,1851,1918,Sicilian Defense: Hyperaccelerated Dragon,4
76,black,1861,1844,Italian Game: Anti-Fried Liver Defense,6
65,white,1853,1774,Ruy Lopez: Berlin Defense #2,6
41,white,1910,1862,Sicilian Defense: Najdorf |  Lipnitsky Attack,11
59,white,1851,1890,French Defense: Knight Variation,3
70,black,1860,1840,Sicilian Defense: Delayed Alapin,5
34,white,1828,1848,Sicilian Defense: Canal-Sokolsky Attack,5
69,white,1855,1858,Amar Opening,1
63,white,1847,1895,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8
107,white,1885,1856,Sicilian Defense,4
58,white,1847,1802,Queen's Pawn,1
34,black,1847,1856,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation,6
100,black,1840,1837,Sicilian Defense: Alapin Variation,3
80,black,1848,1806,Sicilian Defense: French Variation,4
44,black,1860,1820,French Defense: Knight Variation,3
40,black,1854,1849,Paleface Attack,3
105,white,1895,1859,Sicilian Defense,4
50,black,1866,1965,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,6
144,draw,1866,1843,Sicilian Defense,4
81,black,1835,1866,Caro-Kann Defense: Classical Variation |  Flohr Variation,11
69,black,1877,1860,Ruy Lopez: Bird Variation,6
77,white,1849,1874,Sicilian Defense: Najdorf Variation |  Adams Attack,11
158,black,1835,1865,Blumenfeld Countergambit #2,6
107,draw,1866,1835,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
117,white,1856,1829,Ruy Lopez: Morphy Defense #2,12
44,white,1845,1846,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8
40,black,1834,1835,Sicilian Defense: Old Sicilian,4
59,white,1846,1845,Caro-Kann Defense,2
110,black,1845,1917,Queen's Gambit Refused: Marshall Defense,4
30,black,1858,1790,Scandinavian Defense: Mieses-Kotroc Variation,4
54,black,1871,1847,Sicilian Defense: Old Sicilian,4
69,black,1846,1869,Philidor Defense,5
178,black,1843,1836,Sicilian Defense: Alapin Variation,3
136,black,1800,1826,Sicilian Defense,2
124,black,1283,1267,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
96,black,1290,1270,Hungarian Opening,1
53,white,1331,1281,Queen's Pawn Game #3,4
39,white,1304,1292,Van't Kruijs Opening,1
10,black,1305,1293,French Defense: Normal Variation,3
51,white,1308,1317,Center Game: Berger Variation,8
18,black,1296,1305,Italian Game: Giuoco Piano |  Greco's Attack,13
106,black,968,1305,Four Knights Game: Italian Variation,8
38,black,1293,1466,Philidor Defense #3,5
59,white,1500,1299,Ruy Lopez: Exchange Variation,7
111,white,1288,1232,Caro-Kann Defense,3
28,black,1289,2108,Ruy Lopez: Morphy Defense |  Tarrasch Variation,9
101,white,1431,1289,Center Game: Normal Variation,6
15,white,1806,1289,Scotch Game,7
42,white,1289,1311,Philidor Defense #3,5
118,black,1431,1289,Englund Gambit Declined |  Reversed French,3
34,black,1289,1484,Giuoco Piano,6
60,black,1289,1810,Sicilian Defense: Hyperaccelerated Fianchetto,5
66,black,1806,1289,Scotch Game,5
21,white,1289,1500,Philidor Defense #3,5
73,white,1409,1297,Ruy Lopez: Morphy Defense |  Caro Variation,8
159,white,1280,1485,Italian Game: Anti-Fried Liver Defense,6
74,white,1280,1211,Scandinavian Defense: Mieses-Kotroc Variation,4
28,black,1211,1280,Crab Opening,3
112,black,1281,1765,Philidor Defense #4,6
104,black,1288,1454,Petrov's Defense,4
40,black,1560,1270,Queen's Gambit Refused: Chigorin Defense #2,5
44,black,1274,1534,Sicilian Defense: Jalalabad Variation,4
150,draw,1259,1663,Italian Game: Anti-Fried Liver Defense,6
60,black,1614,1238,Queen's Pawn Game: London System,5
37,white,1221,1417,French Defense: Advance Variation |  Milner-Barry Gambit,11
88,black,1222,1732,Sicilian Defense: Open #3,7
113,white,1232,1234,Ruy Lopez: Exchange Variation,7
55,white,1240,1219,Russian Game: Damiano Variation |  Kholmov Gambit,8
135,white,1590,1600,English Opening: Carls-Bremen System,5
137,draw,1568,1617,Italian Game,5
97,white,1500,1358,Four Knights Game,6
33,black,1384,1325,Pirc Defense #4,2
29,black,1384,1265,Zukertort Opening: Old Indian Attack,3
55,black,1384,1950,Zukertort Opening: Sicilian Invitation,2
91,white,1377,1249,Scandinavian Defense: Mieses-Kotroc Variation,4
53,white,1375,1389,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,4
49,white,1378,1361,Philidor Defense,5
48,black,1261,1371,King's Pawn Game: Maroczy Defense,4
20,black,1380,1429,Sicilian Defense: Old Sicilian,4
87,white,1369,1368,Russian Game: Damiano Variation,6
11,white,1290,1371,Ruy Lopez: Morphy Defense |  Mackenzie Variation,9
110,draw,1372,1326,St. George Defense,2
24,white,1361,1383,Van't Kruijs Opening,1
23,white,1217,1399,English Opening: King's English Variation |  Two Knights Variation,4
81,white,1387,1447,Ruy Lopez,5
34,black,1474,1387,Scandinavian Defense,2
103,white,1377,1351,Philidor Defense #2,4
29,black,1389,1339,King's Pawn Game: McConnell Defense,4
22,black,1389,1400,Philidor Defense #2,4
38,white,1849,1389,Scotch Game,5
46,black,1395,1378,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9
23,white,1370,1257,Ruy Lopez: Bird Variation,6
31,white,1360,1332,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,5
51,white,1311,1360,King's Pawn Game: Beyer Gambit,4
87,white,1714,1360,Ruy Lopez: Classical Variation,6
31,white,1354,1217,Italian Game,5
38,black,1245,1346,Queen's Gambit Accepted: Old Variation,5
43,white,1346,1099,Italian Game: Anti-Fried Liver Defense,6
105,white,1336,1287,King's Indian Attack: Keres Variation #2,4
87,white,1580,1555,English Opening: Anglo-Scandinavian Defense,2
36,black,1555,1580,Sicilian Defense: Marshall Counterattack,6
38,black,1649,1547,French Defense: Advance Variation #4,6
110,black,1426,1527,French Defense: Knight Variation,3
48,black,1557,1547,Ruy Lopez: Morphy Defense |  Caro Variation,8
95,white,1557,1607,Nimzo-Indian Defense #2,5
70,black,1607,1557,Bird Opening,1
42,white,1557,1632,Sicilian Defense: Open #3,7
177,white,1535,1609,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line,11
114,black,1713,1558,Hungarian Opening: Indian Defense,2
57,white,1497,1730,Owen Defense,2
57,white,1437,1552,Italian Game,5
82,draw,1516,1552,Bird Opening,2
29,white,1513,1456,Sicilian Defense,5
70,black,1355,1478,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
97,white,1638,1614,Italian Game: Anti-Fried Liver Defense,6
99,white,1613,1934,Caro-Kann Defense: Maroczy Variation |  Maroczy Gambit,11
74,black,1865,1613,Queen's Pawn Game: Torre Attack,5
48,black,1776,1587,Queen's Pawn Game,2
77,white,1568,1593,French Defense: Marshall Variation,6
80,black,1605,1546,Scandinavian Defense: Icelandic-Palme Gambit,6
35,white,1518,1709,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,5
33,white,1728,1527,Semi-Slav Defense: Noteboom Variation,8
87,white,1515,1379,Scandinavian Defense: Mieses-Kotroc Variation,4
40,black,1538,1501,Robatsch (Modern) Defense,4
54,black,1511,1516,Queen's Gambit Declined,4
67,black,1464,1495,Ruy Lopez: Exchange Variation |  Normal Variation,9
21,white,1470,1475,King's Pawn Game: Damiano Defense,4
14,black,1490,1440,Italian Game: Schilling-Kostic Gambit,6
71,white,1611,1974,Queen's Gambit Declined: Semi-Tarrasch |  San Sebastian Variation,18
72,black,1611,1945,Nimzo-Indian Defense: Ragozin Variation,8
62,black,1584,1611,English Opening: Symmetrical Variation |  Anti-Benoni Variation,5
48,black,1942,1611,Van't Kruijs Opening,1
6,black,1217,1611,Four Knights Game,6
69,draw,1611,2059,Semi-Slav Defense: Chigorin Defense,12
72,white,1611,1478,Sicilian Defense: Quinteros Variation,4
40,black,1486,1552,King's Pawn Game: Dresden Opening,5
29,white,1453,1496,Modern Defense,2
44,white,1340,1326,English Defense #2,2
59,white,1532,1500,French Defense: Steinitz Attack,3
115,white,1560,1557,King's Gambit Accepted |  Fischer Defense,6
70,black,1571,1577,Bird Opening: Dutch Variation,2
36,black,1580,1617,Bird Opening,2
83,white,1531,1593,Four Knights Game: Gunsberg Variation,7
99,draw,1449,1597,Four Knights Game: Ranken Variation,9
43,white,1743,1604,King's Gambit Accepted |  Schallopp Defense,6
89,white,1604,1614,Four Knights Game: Spanish Variation |  Classical Variation,8
96,black,1550,1605,Queen's Pawn Game: Mason Attack,3
116,black,1630,1605,Petrov's Defense #5,8
78,black,1475,1605,Hungarian Opening,1
77,white,1605,1475,Bird Opening,1
70,black,1475,1605,King's Pawn Opening: 2.b3,3
27,white,1570,1605,Russian Game: Cochrane Gambit,7
102,black,1605,1500,Bird Opening,1
21,white,1500,1605,Four Knights Game: Italian Variation |  Noa Gambit,9
33,white,1605,1500,Bird Opening,1
74,black,1513,1605,Russian Game: Urusov Gambit,5
65,white,1790,1874,Polish Opening,1
81,white,1864,1805,Sicilian Defense: Closed Variation |  Fianchetto Variation,5
45,black,1496,1861,Indian Game: Tartakower Attack,3
52,white,1851,1853,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted,8
51,white,1861,1863,Caro-Kann Defense,4
48,draw,1618,1609,French Defense: Knight Variation,3
20,black,1620,1607,Van't Kruijs Opening,1
50,black,1621,1496,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
98,black,1633,1581,Philidor Defense #3,5
106,black,1623,1623,Ruy Lopez: Cozio Defense,6
19,white,1612,1614,Italian Game,5
22,white,1605,1624,Italian Game: Giuoco Pianissimo |  Normal,8
114,draw,1693,1621,Indian Game: West Indian Defense,4
69,black,1631,1684,Sicilian Defense,4
34,black,1636,1619,Italian Game: Classical Variation |  Closed Variation,8
40,black,1613,1617,Italian Game: Two Knights Defense |  Traxler Counterattack,8
108,black,1627,1495,Italian Game: Hungarian Defense,6
27,white,1480,1643,Bishop's Opening,3
63,white,1631,1652,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
31,white,1687,1641,Ponziani Opening,5
71,white,1630,1638,Italian Game: Anti-Fried Liver Defense,6
92,black,1414,1624,Ruy Lopez: Cozio Defense,6
47,white,1619,1419,Italian Game: Two Knights Defense |  Knight Attack,7
56,black,1629,1659,Petrov's Defense #2,5
48,white,1649,1639,Bishop's Opening,3
124,black,1677,1627,Polish Opening,1
49,white,1705,1636,Scotch Game: Classical Variation,8
64,black,1647,1635,Sicilian Defense: Najdorf Variation,13
29,white,1637,1627,Italian Game: Classical Variation #2,7
45,white,1626,1631,Italian Game,5
96,black,1602,1615,King's Gambit Accepted |  Fischer Defense,6
92,black,1634,1603,Bishop's Opening,3
40,black,1611,1591,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9
123,white,1579,1623,Italian Game: Giuoco Piano |  Aitken Variation,19
129,white,1995,1581,King's Indian Attack: Symmetrical Defense,4
120,black,1589,1569,Gruenfeld Defense: Three Knights Variation |  Hungarian Attack,9
71,draw,1570,1555,Italian Game: Anti-Fried Liver Defense,6
97,white,1559,1557,French Defense: Knight Variation,3
60,white,1546,1571,Indian Game,2
57,white,1550,1567,Sicilian Defense: Smith-Morra Gambit Declined |  Push Variation,6
38,white,1560,1419,Caro-Kann Defense: Advance Variation,5
111,white,1840,1564,Scotch Game: Haxo Gambit,8
119,black,1660,1549,East Indian Defense,4
33,white,1534,1678,Philidor Defense,5
32,white,1789,1538,Blumenfeld Countergambit #2,6
96,black,1841,1921,Center Game: Berger Variation,8
92,draw,1926,1737,Zukertort Opening: Queenside Fianchetto Variation,2
64,black,1629,1887,Queen's Pawn Game #2,3
10,black,1860,1712,King's Gambit Accepted |  King's Knight Gambit,7
85,white,1500,1568,Reti Opening: Reti Accepted,4
40,black,1780,2132,Sicilian Defense: Najdorf Variation,10
58,black,966,1124,Scandinavian Defense,2
26,black,884,951,Nimzo-Larsen Attack: Modern Variation,2
4,black,945,1070,King's Knight Opening,3
118,black,971,1149,King's Pawn Game: Nimzowitsch Defense,3
11,white,1238,985,Van't Kruijs Opening,1
163,draw,972,1247,English Opening: King's English Variation,2
95,white,1107,961,Nimzowitsch Defense: Mikenas Variation,4
37,black,974,1129,Queen's Pawn Game: Chigorin Variation,3
101,white,1203,970,Center Game #2,3
80,black,998,937,French Defense: Pelikan Variation,5
78,black,1016,1126,Van't Kruijs Opening,1
89,draw,1025,1153,French Defense: Mediterranean Defense,4
42,black,1047,1151,Queen's Pawn Game: Chigorin Variation,4
8,black,998,1016,Ponziani Opening: Romanishin Variation,6
101,white,1127,1044,King's Pawn Game: Wayward Queen Attack,3
65,white,1020,1200,Queen's Pawn Game: Zukertort Variation,3
60,black,1069,1071,Queen's Pawn Game: Symmetrical Variation,4
71,draw,1071,1068,Queen's Pawn Game: Mason Attack,3
44,black,1115,1223,Queen's Pawn Game: Chigorin Variation,4
20,black,1190,1213,Queen's Pawn Game: Chigorin Variation,4
41,white,1337,1337,King's Knight Opening,3
40,black,1500,1500,Scandinavian Defense,2
27,white,1500,1571,Philidor Defense: Exchange Variation #2,7
59,black,1367,1866,Van't Kruijs Opening,1
19,white,1590,1373,Owen Defense,2
50,black,1377,1667,Hungarian Opening,1
34,black,1558,1358,Ruy Lopez: Closed Variations |  Rosen Attack,15
15,white,1476,1367,Owen Defense,2
52,black,1376,1469,Van't Kruijs Opening,1
65,white,1460,1386,Owen Defense,2
67,white,1372,1408,Philidor Defense #3,5
31,black,1373,2148,Sicilian Defense: French Variation,4
130,black,1500,1395,French Defense #2,2
125,white,1382,1414,French Defense: Exchange Variation,5
76,black,1320,1400,French Defense: Knight Variation,3
121,white,1383,1330,Torre Attack #2,3
53,white,1383,1242,Queen's Pawn Game: Zukertort Variation,3
116,black,1469,1357,French Defense: Advance Variation |  Paulsen Attack,9
47,white,959,1357,Creepy Crawly Formation: Classical Defense,4
53,white,1357,959,Queen's Pawn Game: Mason Attack,3
76,black,959,1357,Creepy Crawly Formation: Classical Defense,4
110,draw,1588,1691,Italian Game: Giuoco Pianissimo |  Normal,8
67,white,1541,1586,Sicilian Defense: Accelerated Dragon |  Modern Variation,9
17,white,1517,1320,Elephant Gambit,4
39,white,1569,1569,Nimzo-Larsen Attack: Classical Variation,2
94,black,1563,1498,French Defense: Tarrasch Variation,5
37,white,1903,1512,Nimzo-Indian Defense: Ragozin Variation,8
37,white,1612,1450,Caro-Kann Defense: Exchange Variation,5
34,white,1327,1450,Caro-Kann Defense: Hillbilly Attack,3
41,white,1245,1450,Caro-Kann Defense: Advance Variation,5
30,black,1921,1451,Latvian Gambit,4
51,white,1462,1464,Global Opening,3
79,white,1450,1486,King's Gambit Accepted |  Bishop's Gambit |  Lopez Defense,6
83,white,1439,1418,King's Gambit Accepted |  Bishop's Gambit,5
14,black,1728,1500,Italian Game: Two Knights Defense,6
21,white,1547,1563,Alekhine Defense: Scandinavian Variation,4
47,white,1863,1567,Alekhine Defense,2
38,white,1559,1423,Horwitz Defense,2
34,black,1570,1611,Modern Defense: Geller's System,7
39,white,1562,1582,Alekhine Defense,6
43,white,1576,1386,Queen's Pawn Game: Mason Attack,3
41,white,1353,1595,Caro-Kann Defense: Accelerated Panov Attack,3
49,white,1591,1326,Queen's Pawn Game: Mason Attack,3
38,black,1560,1580,Alekhine Defense: Scandinavian Variation,4
70,black,1727,1574,Scandinavian Defense: Modern Variation #2,4
48,black,1579,1841,Indian Game: East Indian Defense,4
50,black,1877,1558,French Defense: Steinitz Variation #2,11
57,white,1536,1962,Trompowsky Attack,3
148,draw,1529,1763,Queen's Pawn Game: Mason Attack,3
62,black,1590,1515,Scandinavian Defense: Modern Variation #2,4
29,white,1653,1522,Dutch Defense,2
52,black,1675,1505,Scandinavian Defense: Panov Transfer,6
26,black,1547,1491,Scandinavian Defense: Panov Transfer,6
59,black,1507,1399,Englund Gambit,2
2,draw,1641,1502,Scandinavian Defense,2
195,draw,1496,1703,London System,5
56,black,1482,1484,Scandinavian Defense: Modern Variation #2,4
40,black,1486,1909,Modern Defense,2
31,white,1919,1488,English Opening: Caro-Kann Defensive System,2
60,black,1488,2192,Indian Game,2
45,white,1470,1684,Queen's Pawn Game: Mason Attack,3
63,draw,1465,1659,Dutch Defense: Fianchetto Attack,3
17,white,1586,1473,Queen's Pawn Game: London System,5
34,white,1548,1488,Alekhine Defense,6
36,black,1500,1501,Indian Game,2
62,black,1509,1487,Alekhine Defense: Modern Variation |  Main Line,8
46,draw,1356,1491,Scandinavian Defense,2
34,black,1495,1771,Indian Game,2
38,white,1529,1639,French Defense: Knight Variation,3
107,white,1631,1537,Philidor Defense: Hanham Variation,6
42,black,1546,1621,Sicilian Defense #2,6
35,white,1568,1636,French Defense: Pelikan Variation,5
122,black,1354,1631,French Defense: Schlechter Variation,5
71,white,1626,1384,Sicilian Defense: Chekhover Variation,7
42,black,1639,1813,Modern Defense: Mongredien Defense #2,6
2,black,1646,1795,Queen's Pawn Game,2
11,white,1646,939,Slav Defense,4
54,black,1657,1678,Pirc Defense: Classical Variation,8
58,white,1667,1668,Modern Defense: Three Pawns Attack,5
42,black,1683,1599,King's Gambit Declined |  Queen's Knight Defense,4
116,draw,1596,1686,Modern Defense,2
74,black,1769,1659,English Opening: Great Snake Variation,2
54,black,1668,1761,Horwitz Defense,2
85,white,1752,1677,English Opening: Anglo-Indian Defense,2
38,black,1688,1743,Sicilian Defense: Kan Variation |  Wing Attack,10
41,white,1582,1704,French Defense: Knight Variation,3
121,white,1693,1666,Sicilian Defense: Chekhover Variation,7
30,black,1676,1680,French Defense: Knight Variation,3
64,black,1142,1679,Queen's Pawn Game #2,3
15,white,1678,1148,Danish Gambit Accepted |  Classical Defense,10
40,black,1154,1676,Mieses Opening,1
128,draw,1686,1098,Carr Defense,2
48,black,1102,1685,Polish Opening,1
51,white,1684,1107,French Defense: Mediterranean Defense,4
71,black,1493,1678,French Defense #2,2
60,white,1525,1693,Queen's Pawn Game: Zukertort Variation,3
58,black,1709,1681,Horwitz Defense,2
60,black,1692,1699,Bird Opening: Dutch Variation,2
40,white,1688,1704,English Opening: Great Snake Variation,2
29,white,1699,1497,English Opening: Caro-Kann Defensive System,2
98,black,1703,1943,English Opening: Anglo-Indian Defense,2
71,black,1694,1692,French Defense: Marshall Variation,6
135,draw,1696,1564,English Opening: Great Snake Variation,2
34,black,1572,1688,French Defense: Exchange Variation,5
60,black,1392,1684,French Defense: Tarrasch Variation |  Open System,6
47,black,1707,1696,English Opening: Symmetrical Variation |  Normal Variation,3
23,white,1684,1720,Queen's Gambit Refused: Albin Countergambit |  Normal Line,7
78,black,1733,1672,English Opening: Symmetrical Variation,2
35,white,1721,1736,King's Indian Defense,6
